Name,Salary in cr,Matches,Notouts,Runs,Avg,Strike Rate,High Score,100 s,50 s,4 s,6 s,Overs,Maidens,Runs Conceded,Wickets,Bowling Avg,Bowling StrikeRate,Econ,5 wkt Haul
Faf Du Plessis,1.6,71,5,1853,31.4,126.74,96,0,12,163,59,1.0,0,16,0,0.0,0.0,16.0,0
Kedar Jadhav,7.8,79,23,1079,22.95,126.49,69,0,4,92,38,0.0,0,0,0,0.0,0.0,0.0,0
Murali Vijay,2.0,103,5,2587,26.39,122.84,127,2,13,243,91,6.0,0,49,0,0.0,0.0,8.16,0
Ruturaj Gaikwad,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Suresh Raina,11.0,193,28,5368,33.34,137.11,100,1,38,493,194,151.2,0,1118,25,44.72,36.32,7.38,0
Dwayne Bravo,6.4,134,38,1483,23.17,128.28,70,0,5,116,61,430.5,2,3618,147,24.61,17.58,8.39,0
Mitchell Santner,0.5,4,1,32,32.0,139.13,22,0,0,0,3,14.0,0,94,4,23.5,21.0,6.71,0
Ravindra Jadeja,7.0,170,48,1927,24.08,122.66,48,0,0,135,65,415.5,1,3152,108,29.18,23.1,7.57,1
Sam Curran,5.5,9,4,95,23.75,172.72,55,0,1,13,3,33.0,0,323,10,32.33,19.8,9.78,0
Shane Watson,4.0,134,15,3575,31.08,139.53,117,4,19,343,177,338.1,3,2682,92,29.15,22.05,7.93,1
MS Dhoni,15.0,190,65,4432,42.2,137.85,84,0,23,297,209,0.0,0,0,0,0.0,0.0,0.0,0
Narayan Jagadeesan,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Deepak Chahar,0.8,34,1,71,11.83,161.36,39,0,0,2,6,114.4,3,875,33,26.51,20.84,7.63,0
Imran Tahir,1.0,55,4,20,5.0,74.07,5,0,0,3,0,204.2,1,1611,79,20.39,15.51,7.88,0
Josh Hazlewood,2.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Karan Sharma,5.0,63,14,360,15.09,115.69,39,0,0,18,14,184.4,1,1445,54,26.75,20.51,7.82,0
KM Asif,0.4,2,0,0,0.0,0.0,0,0,0,0,0,6.0,0,75,3,25.0,12.0,12.05,0
Lungi Ngedi,0.5,7,0,0,0.0,0.0,0,0,0,0,0,26.0,2,156,11,14.18,14.18,6.0,0
Monu Kumar,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Piyush Chawla,6.75,157,32,584,11.91,111.45,24,0,0,54,18,520.4,2,4072,150,27.14,20.82,7.82,0
Ravisrinivasan Sai Kishore,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Shardul Thakur,2.6,36,3,36,7.2,171.42,15,0,0,5,1,117.5,1,1065,36,29.58,19.63,9.03,0
Ambati Rayudu,2.2,147,25,3300,28.69,125.95,100,1,18,278,120,3.0,0,22,0,0.0,0.0,7.33,0
Harbhajan Singh,2.0,160,35,829,15.64,138.16,64,0,1,79,42,562.3,6,3967,150,26.45,22.49,7.05,1
