Name,Salary in cr,Matches,Notouts,Runs,Avg,Strike Rate,High Score,100 s,50 s,4 s,6 s,Overs,Maidens,Runs Conceded,Wickets,Bowling Avg,Bowling StrikeRate,Econ,5 wkt Haul
Dinesh karthik,7.4,182,28,3654,27.07,129.8,97,0,18,357,101,0.0,0,0,0,0.0,0.0,0.0,0
Andre Russell,7.0,64,10,1400,33.33,186.42,88,0,8,96,120,173.1,0,1538,55,27.96,18.89,8.88,0
Shivam Mavi,3.0,9,1,13,4.33,86.67,7,0,0,1,0,28.0,0,270,5,54.0,33.6,9.64,0
Sandeep Warrier,0.2,3,0,0,0.0,0.0,0,0,0,0,0,12.0,0,85,2,42.5,36.0,7.08,0
Kuldeep Yadav,5.8,40,4,44,8.8,81.48,16,0,0,4,0,137.2,0,1144,39,29.33,21.13,8.33,0
Eoin Morgan,5.25,52,5,854,21.35,121.13,66,0,4,72,34,0.0,0,0,0,0.0,0.0,0.0,0
Pat Cummins,15.5,16,4,77,12.83,140.0,24,0,0,5,4,60.1,2,499,17,29.35,21.24,8.29,0
Harry Gurney,0.75,8,1,1,0.0,20.0,1,0,0,0,0,27.0,0,238,7,34.0,23.14,8.81,0
Sunil Narine,8.5,110,13,771,17.52,168.34,75,0,3,93,44,426.1,3,2845,122,23.32,20.96,6.68,1
Kamlesh Nagarkoti,3.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Nikhil Naik,0.2,3,0,30,10.0,63.83,22,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0
M Siddharth,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Lockie Ferguson,1.6,9,1,1,0.0,100.0,1,0,0,0,0,30.0,1,276,5,55.2,36.0,9.2,0
Nitish Rana,3.4,46,3,1085,28.55,134.62,85,0,8,84,60,15.1,0,119,7,17.0,13.0,7.85,0
Subhman Gill,1.8,27,9,499,33.27,132.36,76,0,4,43,15,0.0,0,0,0,0.0,0.0,0.0,0
Prasidh Krishna,0.2,18,2,1,1.0,14.29,1,0,0,0,0,68.2,0,637,14,45.5,29.29,9.32,0
Rinku Singh,0.8,9,1,66,11.0,101.54,30,0,0,5,2,0.0,0,0,0,0.0,0.0,0.0,0
Siddesh Lad,0.2,1,1,15,15.0,115.38,15,0,0,1,1,0.0,0,0,0,0.0,0.0,0.0,0
Rahul Tripathi,0.6,34,4,758,26.14,137.32,93,0,4,74,27,1.0,0,12,0,0.0,0.0,12.0,0
Varun Chakravarthy,4.0,1,0,0,0.0,0.0,0,0,0,0,0,3.0,0,35,1,35.0,18.0,11.67,0
Chris Green,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Tom Banton,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Ali Khan,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
