Name,Salary in cr,Matches,Notouts,Runs,Avg,Strike Rate,High Score,100 s,50 s,4 s,6 s,Overs,Maidens,Runs Conceded,Wickets,Bowling Average,Bowling S/R,Econ,5 wkt haul
Viart Kohli,17.0,177,26,5412,37.84,131.61,113,5,36,480,190,41.5,0,368,4,92.0,62.75,8.79,0
AB de Villers,11.0,154,32,4395,39.95,151.23,133,3,33,357,212,0.0,0,0,0,0.0,0.0,0.0,0
Aaron Finch,4.4,75,7,1737,26.31,130.7,88,0,13,176,67,7.1,0,67,1,67.0,43.0,9.34,0
Devdutt Padikkal,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Gurkeerat Singh,0.5,33,3,440,18.33,128.65,65,0,2,47,11,13.0,0,87,5,19.4,15.6,7.46,0
Isuru Udana,0.5,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Shivam Dube,5.0,4,1,40,13.33,121.21,24,0,0,1,3,1.4,0,8,0,0.0,0.0,4.8,0
Moeen Ali,1.7,16,2,297,24.75,165.92,66,0,3,20,23,38.1,0,266,9,29.55,25.44,6.96,0
Chris Morris,10.0,61,20,517,27.21,157.62,82,0,2,37,27,214.0,0,1709,69,24.76,18.6,7.98,0
Pavan Deshpande,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Pawan Negi,1.0,50,9,365,14.03,126.29,36,0,0,27,16,119.2,0,939,34,27.61,21.05,7.86,0
Washington Sundar,3.2,21,7,75,12.5,141.5,35,0,0,5,4,59.0,0,451,16,28.18,22.12,7.64,0
Shahbaz Ahmed,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Josh Philppe,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Parthiv Patel,1.7,139,11,2848,22.6,120.78,81,0,13,365,49,0.0,0,0,0,0.0,0.0,0.0,0
Dale Steyn,2.0,92,14,166,7.54,105.06,19,0,0,14,3,351.0,7,2375,96,24.73,21.93,6.76,0
Kane Richardson,4.0,14,1,36,12.0,92.3,26,0,0,2,1,52.5,0,443,18,24.61,17.61,8.38,0
Mohammed Siraj,2.6,26,5,29,9.66,80.55,14,0,0,2,1,92.1,1,848,28,30.28,19.75,9.2,0
Navdeep Saini,3.0,13,1,2,2.0,50.0,2,0,0,0,0,48.0,0,397,11,36.09,26.18,8.28,0
Umesh Yadav,4.2,119,24,122,9.38,96.82,24,0,0,11,4,413.2,3,3496,119,29.37,20.84,8.45,0
Yuzvendra Chahal,6.0,84,9,21,4.2,43.75,4,0,0,0,0,297.5,3,2318,100,23.18,17.87,7.78,0
