Name,Salary in cr,Matches,Notouts,Runs,Avg,Strike Rate,High Score,100 s,50 s,4 s,6 s,Overs,Maidens,Runs Conceded,Wickets,Bowling Avg,Bowling StrikeRate,Econ,5 wkt Haul
Abdul Samad,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Abhishek Sharma,0.55,6,3,72,24.0,171.4,46,0,0,4,5,2.0,0,21,1,21.0,12.0,10.5,0
Khaleel Ahmed,3.0,14,0,0,0.0,0.0,0,0,0,0,0,37.5,0,325,19,17.1,11.94,8.59,0
Fabian Allen,0.5,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Jonny Bairstow,2.2,10,2,445,55.62,157.24,114,1,2,48,18,0.0,0,0,0,0.0,0.0,0.0,0
Basil Thampi,0.95,19,7,32,32.0,91.42,13,0,0,1,1,66.5,0,648,16,40.5,22.06,9.69,0
Priyam Garg,1.9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Shreevats Goswami,1.0,29,1,293,16.27,100.68,52,0,1,32,3,0.0,0,0,0,0.0,0.0,0.0,0
Siddarth Kaul,3.8,45,6,12,3.0,42.85,7,0,0,0,0,163.3,2,1386,49,28.26,20.02,8.47,0
Bhuvneshwar Kumar,8.5,117,19,183,7.62,95.31,24,0,0,17,3,435.2,7,3154,133,23.71,19.63,7.24,1
Mitchell Marsh,2.0,20,2,225,18.75,114.79,38,0,0,9,14,52.3,0,414,20,20.7,15.75,7.88,0
Mohammad Nabi,1.0,13,1,135,15.0,148.35,31,0,0,11,7,45.1,0,299,11,27.18,24.63,6.61,0
Shahbaz Nadeem,3.2,64,7,32,2.66,41.02,6,0,0,1,0,209.5,2,1570,42,37.38,29.97,7.48,0
T Natarajan,0.4,6,0,0,0.0,0.0,0,0,0,0,0,12.4,0,115,2,57.5,38.0,9.07,0
Manish Pandey,11.0,130,23,2843,29.3,120.82,114,1,15,253,75,0.0,0,0,0,0.0,0.0,0.0,0
Rashid Khan,9.0,46,6,104,8.66,165.07,34,0,0,5,9,182.0,3,1193,55,21.69,19.85,6.55,0
Wriddhiman Saha,1.2,120,21,1765,23.85,131.12,115,1,6,160,59,0.0,0,0,0,0.0,0.0,0.0,0
Bavanaka Sandeep,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Sandeep Sharma,3.0,79,15,32,10.66,76.19,7,0,0,2,0,290.5,8,2272,95,23.91,18.36,7.81,0
Sanjay Yadav,0.2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
Vijay Shankar,3.2,33,11,557,30.94,133.89,63,0,2,34,24,14.0,0,147,2,73.5,42.0,10.5,0
Billy Stanlake,0.5,6,1,5,0.0,250.0,5,0,0,1,0,24.0,0,200,7,28.57,20.57,8.33,0
Virat Singh,1.9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0
David Warner,12.5,126,17,4706,43.17,142.39,126,4,44,458,181,0.0,0,0,0,0.0,0.0,0.0,0
Kane Williamson,3.0,41,7,1302,38.29,135.06,89,0,12,111,44,1.0,0,7,0,0.0,0.0,7.0,0
